side,entry_type,entry_idx,entry_time,entry_price,stop_level,tp_level,close_idx,close_time,close_price,stop_hit,tp_hit,be_active,zone_label,zone_start,zone_end,zone_low,zone_high,bos_time
short,P,173511,1682676000,1.10196,1.10365,1.0985800000000001,173524,1682679900,1.0985800000000001,False,True,False,Supply,1682657100,1682706000,1.10311,1.10346,1682660700
long,P,173509,1682675400,1.10292,1.10151,1.1057399999999997,173511,1682676000,1.10151,True,False,False,Demand,1682649000,1682712000,1.10268,1.10286,1682654100
long,P,173774,1682928000,1.10059,1.10034,1.1013399999999995,173779,1682929500,1.10034,True,False,False,Demand,1682918100,1682931600,1.10017,1.10039,1682920800
short,P,173875,1682958300,1.10211,1.10304,1.1002499999999997,173876,1682958600,1.1024,False,False,False,Supply,1682716800,1682958600,1.10232,1.1026,1682723100
short,P,174068,1683016500,1.09904,1.09917,1.0984550000000002,174069,1683016800,1.09917,True,False,False,Supply,1683002100,1683018600,1.09915,1.09941,1683006300
long,P,174101,1683026400,1.09723,1.096,1.0996899999999996,174113,1683030000,1.09684,False,False,False,Demand,1682996100,1683030000,1.09672,1.09685,1682999700
long,P,174366,1683106200,1.10199,1.10143,1.1031100000000003,174371,1683107700,1.1031100000000003,False,True,False,Demand,1683087000,1683173700,1.10129,1.10148,1683092700
long,P,174349,1683101100,1.10236,1.10214,1.1030200000000003,174354,1683102600,1.10214,True,False,False,Demand,1683091800,1683178500,1.10201,1.10214,1683096900
long,P,174419,1683122100,1.10335,1.10297,1.1043000000000003,174429,1683125100,1.1043000000000003,False,True,False,Demand,1683108600,1683195300,1.10261,1.10306,1683114000
long,P,174512,1683150000,1.10597,1.10373,1.1104499999999995,174683,1683201600,1.10373,True,False,False,Demand,1683132900,1683217200,1.10333,1.10379,1683135300
long,P,174733,1683216600,1.10429,1.10225,1.10837,174736,1683217500,1.10382,False,False,False,Demand,1683201900,1683217500,1.10366,1.10426,1683204900
short,P,175171,1683521400,1.1029,1.10304,1.1022699999999999,175172,1683521700,1.10304,True,False,False,Supply,1683317400,1683521700,1.10299,1.10347,1683324300
short,P,175517,1683625500,1.09936,1.10002,1.0980399999999997,175523,1683627300,1.10002,True,False,False,Supply,1683600900,1683687600,1.09968,1.09978,1683606000
long,P,175792,1683708300,1.09664,1.09624,1.09764,175796,1683709500,1.09648,False,False,False,Demand,1683687000,1683709500,1.09639,1.09652,1683690900
long,P,175700,1683680700,1.09612,1.0945,1.09936,175834,1683720900,1.09502,False,False,False,Demand,1683659100,1683720900,1.09493,1.09516,1683661800
short,P,175950,1683755700,1.0978,1.09826,1.0966500000000003,175955,1683757200,1.09819,False,False,False,Supply,1683740100,1683757200,1.09814,1.09878,1683743700
long,P,176007,1683773100,1.09836,1.0982,1.0988399999999998,176016,1683775800,1.0988399999999998,False,True,True,Demand,1683765300,1683781500,1.09805,1.09824,1683770400
short,P,176358,1683878700,1.09237,1.09269,1.0914100000000004,176362,1683879900,1.09269,True,False,False,Supply,1683834900,1683879900,1.09264,1.09291,1683846000
short,P,176387,1683887400,1.09299,1.09356,1.0918499999999995,176392,1683888900,1.0918499999999995,False,True,False,Supply,1683820200,1683906900,1.09352,1.09431,1683822000
long,P,176838,1684196100,1.08738,1.08715,1.0880699999999999,176881,1684209000,1.0880699999999999,False,True,True,Demand,1684179900,1684213500,1.0869,1.08717,1684182600
short,P,176958,1684232100,1.0881,1.08835,1.0873500000000005,176962,1684233300,1.08835,True,False,False,Supply,1684222800,1684249800,1.08822,1.08835,1684227900
long,P,177023,1684251600,1.08814,1.08681,1.0908000000000002,177041,1684257000,1.08681,True,False,False,Demand,1684230000,1684257600,1.08661,1.08687,1684231500
short,P,177317,1684340100,1.08345,1.08389,1.08235,177321,1684341300,1.08235,False,True,False,Supply,1684334700,1684358100,1.08387,1.08415,1684337400
short,P,177391,1684362300,1.08413,1.0843,1.08362,177410,1684368300,1.08362,False,True,True,Supply,1684357500,1684383600,1.0843,1.08455,1684359600
long,P,177504,1684396500,1.08343,1.08328,1.0841049999999992,177505,1684396800,1.08328,True,False,False,Demand,1684351200,1684396800,1.08302,1.08333,1684355700
long,P,177767,1684475700,1.07705,1.07655,1.0783000000000005,177775,1684478100,1.07694,False,False,False,Demand,1684457700,1684478100,1.07689,1.07704,1684466400
short,P,177769,1684476300,1.07687,1.07739,1.07557,177806,1684487400,1.07739,True,False,False,Supply,1684469400,1684494000,1.07735,1.07759,1684472400
short,P,177811,1684488900,1.07834,1.0792,1.0766200000000004,177836,1684496400,1.0792,True,False,False,Supply,1684427100,1684496400,1.07895,1.07941,1684431600
short,P,177981,1684539900,1.0806,1.08082,1.0799400000000003,177995,1684717500,1.08082,True,False,False,Supply,1684533900,1684746600,1.08082,1.08093,1684538100
long,P,178158,1684766400,1.08163,1.08126,1.0825550000000002,178167,1684769100,1.0825550000000002,False,True,True,Demand,1684756200,1684772100,1.08071,1.0813,1684760400
long,P,178192,1684776600,1.08096,1.08001,1.08286,178197,1684778100,1.08017,False,False,False,Demand,1684755000,1684778100,1.07991,1.08046,1684757100
long,P,178192,1684776600,1.08096,1.08001,1.08286,178198,1684778400,1.08001,True,False,False,Demand,1684752000,1684778400,1.07974,1.08012,1684757100
long,P,178390,1684836300,1.08053,1.08013,1.0815299999999999,178391,1684836600,1.08013,True,False,False,Demand,1684831500,1684836600,1.08003,1.08027,1684835100
long,P,178484,1684864500,1.07806,1.07773,1.0790499999999998,178485,1684864800,1.0778,False,False,False,Demand,1684860300,1684864800,1.07664,1.0778,1684862100
short,P,178410,1684842300,1.08035,1.08082,1.079175,178418,1684844700,1.079175,False,True,True,Supply,1684835100,1684921800,1.08079,1.0813,1684839900
short,P,178666,1684919400,1.07844,1.07893,1.0772150000000003,178669,1684920300,1.07893,True,False,False,Supply,1684862400,1684926600,1.07889,1.07956,1684865100
long,P,178559,1684887300,1.07693,1.07637,1.0780499999999997,178646,1684913400,1.0780499999999997,False,True,False,Demand,1684869600,1684937700,1.07606,1.07637,1684872600
long,P,178881,1684984200,1.07526,1.07488,1.07621,178886,1684985700,1.07488,True,False,False,Demand,1684977600,1684985700,1.07423,1.07491,1684982700
short,P,179023,1685026800,1.07308,1.07333,1.0723300000000004,179024,1685027100,1.07333,True,False,False,Supply,1685019300,1685027700,1.07328,1.07355,1685022000
short,P,179026,1685027700,1.07347,1.07404,1.0723299999999996,179030,1685028900,1.0723299999999996,False,True,False,Supply,1685008200,1685085000,1.07394,1.0744,1685015700
long,P,179171,1685071500,1.07223,1.0719,1.0732199999999998,179190,1685077200,1.0732199999999998,False,True,True,Demand,1685055000,1685122800,1.07167,1.07192,1685062200
short,P,179390,1685137200,1.07308,1.07329,1.07245,179418,1685318700,1.07245,False,True,True,Supply,1685121300,1685336700,1.07329,1.07371,1685133000
short,P,179760,1685421600,1.07227,1.07264,1.071345,179780,1685427600,1.071345,False,True,True,Supply,1685361000,1685447700,1.07264,1.07284,1685363400
short,P,179846,1685447400,1.07049,1.07084,1.0696149999999998,179852,1685449200,1.07049,True,False,True,Supply,1685433300,1685449200,1.07069,1.07088,1685440800
long,P,179890,1685460600,1.07366,1.07334,1.0746200000000004,179891,1685460900,1.07334,True,False,False,Demand,1685456700,1685461500,1.07307,1.07344,1685458800
short,P,179720,1685409600,1.07098,1.07115,1.07047,179726,1685411400,1.07115,True,False,False,Supply,1685395500,1685482200,1.07115,1.0712,1685407800
long,P,180110,1685526900,1.06856,1.06791,1.06986,180112,1685527500,1.06791,True,False,False,Demand,1685442600,1685527800,1.06726,1.06792,1685445600
short,P,180193,1685551800,1.06979,1.07053,1.06831,180195,1685552400,1.06831,False,True,False,Supply,1685512800,1685599500,1.0704,1.0705,1685519400
short,P,180193,1685551800,1.06979,1.07053,1.06831,180195,1685552400,1.06831,False,True,False,Supply,1685518500,1685605200,1.06987,1.07004,1685525700
long,P,180387,1685610300,1.06768,1.06734,1.0687,180402,1685614800,1.06768,True,False,True,Demand,1685571900,1685615100,1.06722,1.06752,1685580900
short,P,180589,1685671200,1.07625,1.07654,1.0753799999999996,180623,1685681400,1.07654,True,False,False,Supply,1685655000,1685681400,1.07648,1.07686,1685661900
long,P,180693,1685702400,1.07669,1.07634,1.0777399999999995,180694,1685702700,1.07634,True,False,False,Demand,1685692800,1685703000,1.07621,1.07647,1685700000
long,P,180738,1685715900,1.07648,1.0763,1.0770200000000003,180744,1685717700,1.0763,True,False,False,Demand,1685709600,1685718300,1.07603,1.07641,1685711400
long,P,180752,1685720100,1.07601,1.07346,1.0811099999999996,180754,1685720700,1.07473,False,False,False,Demand,1685644800,1685720700,1.074,1.07479,1685647200
long,P,180752,1685720100,1.07601,1.07346,1.0811099999999996,180760,1685722500,1.07561,False,False,False,Demand,1685665500,1685722500,1.0755,1.07574,1685668500
long,P,180752,1685720100,1.07601,1.07346,1.0811099999999996,180773,1685726400,1.07394,False,False,False,Demand,1685643600,1685726400,1.07326,1.07408,1685647200
short,P,180827,1685742600,1.07129,1.07154,1.0705400000000005,180829,1685743200,1.07135,False,False,False,Supply,1685737500,1685743200,1.07135,1.07158,1685739900
long,P,181099,1685997300,1.07087,1.07075,1.0714099999999995,181105,1685999100,1.0714099999999995,False,True,True,Demand,1685990400,1686050100,1.07033,1.07078,1685991600
short,P,181275,1686050400,1.06958,1.07058,1.0675799999999998,181285,1686053400,1.06974,False,False,False,Supply,1685968800,1686053400,1.06962,1.06991,1685975400
short,P,181356,1686074700,1.06889,1.06919,1.0679899999999993,181361,1686076200,1.06919,True,False,False,Supply,1686062400,1686076200,1.06911,1.06932,1686064500
short,P,181430,1686097200,1.06935,1.06943,1.0689899999999997,181431,1686097500,1.06943,True,False,False,Supply,1686090300,1686100200,1.06942,1.06963,1686092700
short,P,181685,1686173700,1.07007,1.07022,1.0693950000000005,181689,1686174900,1.07022,True,False,False,Supply,1686165900,1686175200,1.07022,1.0706,1686167700
short,P,181691,1686175500,1.07038,1.07054,1.0699000000000003,181701,1686178500,1.0699000000000003,False,True,True,Supply,1686162900,1686192300,1.0705,1.07106,1686166800
short,P,181846,1686222300,1.07125,1.0716,1.0703749999999999,181847,1686222600,1.0716,True,False,False,Supply,1686217800,1686222600,1.07146,1.07191,1686219600
long,P,181702,1686178800,1.06953,1.06936,1.07004,181714,1686182700,1.06953,True,False,True,Demand,1686170400,1686257100,1.06927,1.06938,1686174900
long,P,182073,1686290700,1.07787,1.07757,1.0787700000000007,182088,1686295200,1.07757,True,False,False,Demand,1686263400,1686295200,1.07737,1.07757,1686270600
long,P,182194,1686327000,1.07702,1.07614,1.07878,182211,1686332100,1.07614,True,False,False,Demand,1686319500,1686567000,1.07603,1.07632,1686321600
short,P,182614,1686626400,1.07646,1.07669,1.0757700000000001,182625,1686629700,1.07646,True,False,True,Supply,1686586500,1686630900,1.07665,1.07716,1686590700
short,P,182790,1686679200,1.08016,1.0808,1.07888,182793,1686680100,1.0808,True,False,False,Supply,1686674100,1686680100,1.08057,1.08152,1686675600
long,P,182578,1686615600,1.07539,1.07509,1.07629,182602,1686622800,1.07629,False,True,True,Demand,1686605400,1686692100,1.07504,1.0753,1686608100
long,P,182899,1686712200,1.07877,1.07858,1.0793399999999997,182916,1686717300,1.0793399999999997,False,True,True,Demand,1686694500,1686726900,1.07846,1.07871,1686704700
long,P,182951,1686727800,1.07873,1.07848,1.0794799999999996,182963,1686731400,1.07848,True,False,False,Demand,1686692700,1686732000,1.07829,1.07849,1686695700
short,P,182983,1686737400,1.0788,1.07908,1.0779599999999998,182987,1686738600,1.07908,True,False,False,Supply,1686729900,1686740100,1.07893,1.07905,1686732900
short,P,182989,1686739200,1.07931,1.07969,1.07836,183000,1686742500,1.07969,True,False,False,Supply,1686722400,1686809100,1.07954,1.07961,1686730200
short,P,183494,1686891300,1.09458,1.09484,1.0938000000000003,183505,1686894600,1.0938000000000003,False,True,True,Supply,1686885000,1686906900,1.09476,1.09509,1686889500
long,P,183561,1686911400,1.09439,1.09339,1.0963899999999998,183564,1686912300,1.09398,False,False,False,Demand,1686903000,1686912300,1.09382,1.094,1686906600
short,P,183605,1686924600,1.09542,1.09578,1.0945200000000002,183606,1686924900,1.09578,True,False,False,Supply,1686908100,1686924900,1.09569,1.09625,1686909900
long,P,183626,1686930900,1.09503,1.09481,1.0956899999999996,183627,1686931200,1.09481,True,False,False,Demand,1686923400,1686931800,1.09468,1.09496,1686925800
long,P,183584,1686918300,1.09459,1.09398,1.09581,183606,1686924900,1.09581,False,True,False,Demand,1686912600,1686936300,1.09365,1.09412,1686914400
long,P,183561,1686911400,1.09439,1.09339,1.0963899999999998,183614,1686927300,1.0963899999999998,False,True,False,Demand,1686855900,1686942600,1.09323,1.09347,1686858600
long,P,183712,1686956700,1.09385,1.09345,1.0948499999999999,183723,1687133100,1.09345,True,False,False,Demand,1686946200,1687133400,1.09321,1.0935,1686948900
short,P,183901,1687186500,1.09235,1.09273,1.0913999999999997,183902,1687186800,1.09248,False,False,False,Supply,1687177500,1687186800,1.09246,1.09288,1687179300
long,P,183920,1687192200,1.09219,1.09169,1.0934399999999997,183927,1687194300,1.09169,True,False,False,Demand,1687182600,1687194600,1.09159,1.09177,1687185300
short,P,184022,1687223100,1.09227,1.09236,1.0918650000000003,184023,1687223400,1.09236,True,False,False,Supply,1687201500,1687223700,1.09236,1.09262,1687203300
long,P,184104,1687247700,1.09148,1.09134,1.0921100000000001,184105,1687248000,1.09134,True,False,False,Demand,1687237800,1687249200,1.09105,1.09136,1687243500
long,P,184177,1687269600,1.09312,1.09272,1.0941200000000006,184179,1687270200,1.09272,True,False,False,Demand,1687265700,1687270500,1.09229,1.09278,1687267500
long,P,184348,1687320900,1.09144,1.09117,1.09225,184365,1687326000,1.09144,True,False,True,Demand,1687299600,1687336500,1.09098,1.09119,1687303200
short,P,184424,1687343700,1.09174,1.09196,1.0910799999999996,184425,1687344000,1.09178,False,False,False,Supply,1687332900,1687344000,1.09178,1.09196,1687340400
long,P,184694,1687424700,1.09863,1.09837,1.0994099999999998,184696,1687425300,1.09837,True,False,False,Demand,1687394100,1687427100,1.09818,1.09838,1687407000
short,P,184707,1687428600,1.09867,1.09921,1.09732,184711,1687429800,1.09921,True,False,False,Supply,1687418100,1687433700,1.09912,1.09928,1687425300
short,P,184773,1687448400,1.09935,1.10017,1.09771,184779,1687450200,1.09771,False,True,False,Supply,1687443600,1687530000,1.10013,1.10109,1687445700
long,P,185498,1687838700,1.09059,1.09018,1.091615,185505,1687840800,1.091615,False,True,False,Demand,1687808400,1687894800,1.09,1.09022,1687811100
long,P,185832,1687938900,1.09474,1.09466,1.0951000000000004,185833,1687939200,1.09466,True,False,False,Demand,1687929900,1687944300,1.09421,1.09466,1687935900
long,P,185855,1687945800,1.09431,1.094,1.0952399999999993,185856,1687946100,1.094,True,False,False,Demand,1687872300,1687946400,1.09385,1.09415,1687877100
short,P,185866,1687949100,1.09515,1.09528,1.0945650000000002,185867,1687949700,1.09528,True,False,False,Supply,1687943100,1687950600,1.09524,1.09549,1687945500
short,P,186144,1688033100,1.09072,1.09118,1.0895699999999997,186145,1688033400,1.09092,False,False,False,Supply,1688014200,1688033400,1.09086,1.09127,1688018400
short,P,186149,1688034600,1.09168,1.09206,1.0907299999999998,186152,1688035500,1.09178,False,False,False,Supply,1688006400,1688035500,1.0917,1.09178,1688013900
long,P,186211,1688053200,1.09098,1.08964,1.0936600000000003,186212,1688053500,1.09028,False,False,False,Demand,1688010600,1688053500,1.09012,1.09034,1688034000
long,P,186230,1688058900,1.08879,1.08713,1.09211,186231,1688059200,1.0887,False,False,False,Demand,1688028600,1688059200,1.08847,1.08877,1688031600
